x u delta
-0.9990 1.0000 1.0000 0.0000
-0.9980 1.0000 1.0000 0.0000
-0.9970 1.0000 1.0000 0.0000
-0.9960 1.0000 1.0000 0.0000
-0.9950 1.0000 1.0000 0.0000
-0.9940 1.0000 1.0000 0.0000
-0.9930 1.0000 1.0000 0.0000
-0.9920 1.0000 1.0000 0.0000
-0.9910 1.0000 1.0000 0.0000
-0.9900 1.0000 1.0000 0.0000
-0.9890 1.0000 1.0000 0.0000
-0.9880 1.0000 1.0000 0.0000
-0.9870 1.0000 1.0000 0.0000
-0.9860 1.0000 1.0000 0.0000
-0.9850 1.0000 1.0000 0.0000
-0.9840 1.0000 1.0000 0.0000
-0.9830 1.0000 1.0000 0.0000
-0.9820 1.0000 1.0000 0.0000
-0.9810 1.0000 1.0000 0.0000
-0.9800 1.0000 1.0000 0.0000
-0.9790 1.0000 1.0000 0.0000
-0.9780 1.0000 1.0000 0.0000
-0.9770 1.0000 1.0000 0.0000
-0.9760 1.0000 1.0000 0.0000
-0.9750 1.0000 1.0000 0.0000
-0.9740 1.0000 1.0000 0.0000
-0.9730 1.0000 1.0000 0.0000
-0.9720 1.0000 1.0000 0.0000
-0.9710 1.0000 1.0000 0.0000
-0.9700 1.0000 1.0000 0.0000
-0.9690 1.0000 1.0000 0.0000
-0.9680 1.0000 1.0000 0.0000
-0.9670 1.0000 1.0000 0.0000
-0.9660 1.0000 1.0000 0.0000
-0.9650 1.0000 1.0000 0.0000
-0.9640 1.0000 1.0000 0.0000
-0.9630 1.0000 1.0000 0.0000
-0.9620 1.0000 1.0000 0.0000
-0.9610 1.0000 1.0000 0.0000
-0.9600 1.0000 1.0000 0.0000
-0.9590 1.0000 1.0000 0.0000
-0.9580 1.0000 1.0000 0.0000
-0.9570 1.0000 1.0000 0.0000
-0.9560 1.0000 1.0000 0.0000
-0.9550 1.0000 1.0000 0.0000
-0.9540 1.0000 1.0000 0.0000
-0.9530 1.0000 1.0000 0.0000
-0.9520 1.0000 1.0000 0.0000
-0.9510 1.0000 1.0000 0.0000
-0.9500 1.0000 1.0000 0.0000
-0.9490 1.0000 1.0000 0.0000
-0.9480 1.0000 1.0000 0.0000
-0.9470 1.0000 1.0000 0.0000
-0.9460 1.0000 1.0000 0.0000
-0.9450 1.0000 1.0000 0.0000
-0.9440 1.0000 1.0000 0.0000
-0.9430 1.0000 1.0000 0.0000
-0.9420 1.0000 1.0000 0.0000
-0.9410 1.0000 1.0000 0.0000
-0.9400 1.0000 1.0000 0.0000
-0.9390 1.0000 1.0000 0.0000
-0.9380 1.0000 1.0000 0.0000
-0.9370 1.0000 1.0000 0.0000
-0.9360 1.0000 1.0000 0.0000
-0.9350 1.0000 1.0000 0.0000
-0.9340 1.0000 1.0000 0.0000
-0.9330 1.0000 1.0000 0.0000
-0.9320 1.0000 1.0000 0.0000
-0.9310 1.0000 1.0000 0.0000
-0.9300 1.0000 1.0000 0.0000
-0.9290 1.0000 1.0000 0.0000
-0.9280 1.0000 1.0000 0.0000
-0.9270 1.0000 1.0000 0.0000
-0.9260 1.0000 1.0000 0.0000
-0.9250 1.0000 1.0000 0.0000
-0.9240 1.0000 1.0000 0.0000
-0.9230 1.0000 1.0000 0.0000
-0.9220 1.0000 1.0000 0.0000
-0.9210 1.0000 1.0000 0.0000
-0.9200 1.0000 1.0000 0.0000
-0.9190 1.0000 1.0000 0.0000
-0.9180 1.0000 1.0000 0.0000
-0.9170 1.0000 1.0000 0.0000
-0.9160 1.0000 1.0000 0.0000
-0.9150 1.0000 1.0000 0.0000
-0.9140 1.0000 1.0000 0.0000
-0.9130 1.0000 1.0000 0.0000
-0.9120 1.0000 1.0000 0.0000
-0.9110 1.0000 1.0000 0.0000
-0.9100 1.0000 1.0000 0.0000
-0.9090 1.0000 1.0000 0.0000
-0.9080 1.0000 1.0000 0.0000
-0.9070 1.0000 1.0000 0.0000
-0.9060 1.0000 1.0000 0.0000
-0.9050 1.0000 1.0000 0.0000
-0.9040 1.0000 1.0000 0.0000
-0.9030 1.0000 1.0000 0.0000
-0.9020 1.0000 1.0000 0.0000
-0.9010 1.0000 1.0000 0.0000
-0.9000 1.0000 1.0000 0.0000
-0.8990 1.0000 1.0000 0.0000
-0.8980 1.0000 1.0000 0.0000
-0.8970 1.0000 1.0000 0.0000
-0.8960 1.0000 1.0000 0.0000
-0.8950 1.0000 1.0000 0.0000
-0.8940 1.0000 1.0000 0.0000
-0.8930 1.0000 1.0000 0.0000
-0.8920 1.0000 1.0000 0.0000
-0.8910 1.0000 1.0000 0.0000
-0.8900 1.0000 1.0000 0.0000
-0.8890 1.0000 1.0000 0.0000
-0.8880 1.0000 1.0000 0.0000
