x u delta
-0.9900 1.0000 1.0000 0.0000
-0.9800 1.0000 1.0000 0.0000
-0.9700 1.0000 1.0000 0.0000
-0.9600 1.0000 1.0000 0.0000
-0.9500 1.0000 1.0000 0.0000
-0.9400 1.0000 1.0000 0.0000
-0.9300 1.0000 1.0000 0.0000
-0.9200 1.0000 1.0000 0.0000
-0.9100 1.0000 1.0000 0.0000
-0.9000 1.0000 1.0000 0.0000
-0.8900 1.0000 1.0000 0.0000
-0.8800 1.0000 1.0000 0.0000
-0.8700 1.0000 1.0000 0.0000
-0.8600 1.0000 1.0000 0.0000
-0.8500 1.0000 1.0000 0.0000
-0.8400 1.0000 1.0000 0.0000
-0.8300 1.0000 1.0000 0.0000
-0.8200 1.0000 1.0000 0.0000
-0.8100 1.0000 1.0000 0.0000
-0.8000 1.0000 1.0000 0.0000
-0.7900 1.0000 1.0000 0.0000
-0.7800 1.0000 1.0000 0.0000
-0.7700 1.0000 1.0000 0.0000
-0.7600 1.0000 1.0000 0.0000
-0.7500 1.0000 1.0000 0.0000
-0.7400 1.0000 1.0000 0.0000
-0.7300 1.0000 1.0000 0.0000
-0.7200 1.0000 1.0000 0.0000
-0.7100 1.0000 1.0000 0.0000
-0.7000 1.0000 1.0000 0.0000
-0.6900 1.0000 1.0000 0.0000
-0.6800 1.0000 1.0000 0.0000
-0.6700 1.0000 1.0000 0.0000
-0.6600 1.0000 1.0000 0.0000
-0.6500 1.0000 1.0000 0.0000
-0.6400 1.0000 1.0000 0.0000
-0.6300 1.0000 1.0000 0.0000
-0.6200 1.0000 1.0000 0.0000
-0.6100 1.0000 1.0000 0.0000
-0.6000 1.0000 1.0000 0.0000
-0.5900 1.0000 1.0000 0.0000
-0.5800 1.0000 1.0000 0.0000
-0.5700 1.0000 1.0000 0.0000
-0.5600 1.0000 1.0000 0.0000
-0.5500 1.0000 1.0000 0.0000
-0.5400 1.0000 1.0000 0.0000
-0.5300 1.0000 1.0000 0.0000
-0.5200 1.0000 1.0000 0.0000
-0.5100 1.0000 1.0000 0.0000
-0.5000 1.0000 1.0000 0.0000
-0.4900 1.0000 1.0000 0.0000
-0.4800 1.0000 1.0000 0.0000
-0.4700 1.0000 1.0000 0.0000
-0.4600 1.0000 1.0000 0.0000
-0.4500 1.0000 1.0000 0.0000
-0.4400 1.0000 1.0000 0.0000
-0.4300 1.0000 1.0000 0.0000
-0.4200 1.0000 1.0000 0.0000
-0.4100 1.0000 1.0000 0.0000
-0.4000 1.0000 1.0000 0.0000
-0.3900 1.0000 1.0000 0.0000
-0.3800 1.0000 1.0000 0.0000
-0.3700 1.0000 1.0000 0.0000
-0.3600 1.0000 1.0000 0.0000
-0.3500 1.0000 1.0000 0.0000
-0.3400 1.0000 1.0000 0.0000
-0.3300 1.0000 1.0000 0.0000
-0.3200 1.0000 1.0000 0.0000
-0.3100 1.0000 1.0000 0.0000
-0.3000 1.0000 1.0000 0.0000
-0.2900 1.0000 1.0000 0.0000
-0.2800 1.0000 1.0000 0.0000
-0.2700 1.0000 1.0000 0.0000
-0.2600 1.0000 1.0000 -0.0000
-0.2500 1.0000 1.0000 -0.0000
-0.2400 1.0000 1.0000 -0.0000
-0.2300 1.0000 1.0000 -0.0000
-0.2200 1.0000 1.0000 -0.0000
-0.2100 0.9999 1.0000 -0.0001
-0.2000 0.9997 1.0000 -0.0003
-0.1900 0.9991 1.0000 -0.0009
-0.1800 0.9975 1.0000 -0.0025
-0.1700 0.9939 1.0000 -0.0061
-0.1600 0.9869 1.0000 -0.0131
-0.1500 0.9744 1.0000 -0.0256
-0.1400 0.9541 1.0000 -0.0459
-0.1300 0.9240 1.0000 -0.0760
-0.1200 0.8830 0.9600 -0.0770
-0.1100 0.8311 0.8800 -0.0489
-0.1000 0.7696 0.8000 -0.0304
-0.0900 0.7009 0.7200 -0.0191
-0.0800 0.6274 0.6400 -0.0126
-0.0700 0.5512 0.5600 -0.0088
-0.0600 0.4739 0.4800 -0.0061
-0.0500 0.3972 0.4000 -0.0028
-0.0400 0.3227 0.3200 0.0027
-0.0300 0.2526 0.2400 0.0126
-0.0200 0.1895 0.1600 0.0295
-0.0100 0.1357 0.0800 0.0557
0.0000 0.0925 0.0000 0.0925
0.0100 0.0600 0.0000 0.0600
0.0200 0.0370 0.0000 0.0370
0.0300 0.0217 0.0000 0.0217
0.0400 0.0121 0.0000 0.0121
0.0500 0.0064 0.0000 0.0064
0.0600 0.0032 0.0000 0.0032
0.0700 0.0015 0.0000 0.0015
0.0800 0.0007 0.0000 0.0007
0.0900 0.0003 0.0000 0.0003
0.1000 0.0001 0.0000 0.0001
0.1100 0.0000 0.0000 0.0000
0.1200 0.0000 0.0000 0.0000
0.1300 0.0000 0.0000 0.0000
0.1400 0.0000 0.0000 0.0000
0.1500 0.0000 0.0000 0.0000
0.1600 0.0000 0.0000 0.0000
0.1700 0.0000 0.0000 0.0000
0.1800 0.0000 0.0000 0.0000
0.1900 0.0000 0.0000 0.0000
0.2000 0.0000 0.0000 0.0000
0.2100 0.0000 0.0000 0.0000
0.2200 0.0000 0.0000 0.0000
0.2300 0.0000 0.0000 0.0000
0.2400 0.0000 0.0000 0.0000
0.2500 0.0000 0.0000 0.0000
0.2600 0.0000 0.0000 0.0000
0.2700 0.0000 0.0000 0.0000
0.2800 0.0000 0.0000 0.0000
0.2900 0.0000 0.0000 0.0000
0.3000 0.0000 0.0000 0.0000
0.3100 0.0000 0.0000 0.0000
0.3200 0.0000 0.0000 0.0000
0.3300 0.0000 0.0000 0.0000
0.3400 0.0000 0.0000 0.0000
0.3500 0.0000 0.0000 0.0000
0.3600 0.0000 0.0000 0.0000
0.3700 0.0000 0.0000 0.0000
0.3800 0.0000 0.0000 0.0000
0.3900 0.0000 0.0000 0.0000
0.4000 0.0000 0.0000 0.0000
0.4100 0.0000 0.0000 0.0000
0.4200 0.0000 0.0000 0.0000
0.4300 0.0000 0.0000 0.0000
0.4400 0.0000 0.0000 0.0000
0.4500 0.0000 0.0000 0.0000
0.4600 0.0000 0.0000 0.0000
0.4700 0.0000 0.0000 0.0000
0.4800 0.0000 0.0000 0.0000
0.4900 0.0000 0.0000 0.0000
0.5000 0.0000 0.0000 0.0000
0.5100 0.0000 0.0000 0.0000
0.5200 0.0000 0.0000 0.0000
0.5300 0.0000 0.0000 0.0000
0.5400 0.0000 0.0000 0.0000
0.5500 0.0000 0.0000 0.0000
0.5600 0.0000 0.0000 0.0000
0.5700 0.0000 0.0000 0.0000
0.5800 0.0000 0.0000 0.0000
0.5900 0.0000 0.0000 0.0000
0.6000 0.0000 0.0000 0.0000
0.6100 0.0000 0.0000 0.0000
0.6200 0.0000 0.0000 0.0000
0.6300 0.0000 0.0000 0.0000
0.6400 0.0000 0.0000 0.0000
0.6500 0.0000 0.0000 0.0000
0.6600 0.0000 0.0000 0.0000
0.6700 0.0000 0.0000 0.0000
0.6800 0.0000 0.0000 0.0000
0.6900 0.0000 0.0000 0.0000
0.7000 0.0000 0.0000 0.0000
0.7100 0.0000 0.0000 0.0000
0.7200 0.0000 0.0000 0.0000
0.7300 0.0000 0.0000 0.0000
0.7400 0.0000 0.0000 0.0000
0.7500 0.0000 0.0000 0.0000
0.7600 0.0000 0.0000 0.0000
0.7700 0.0000 0.0000 0.0000
0.7800 0.0000 0.0000 0.0000
0.7900 0.0000 0.0000 0.0000
0.8000 0.0000 0.0000 0.0000
0.8100 0.0000 0.0000 0.0000
0.8200 0.0000 0.0000 0.0000
0.8300 0.0000 0.0000 0.0000
0.8400 0.0000 0.0000 0.0000
0.8500 0.0000 0.0000 0.0000
0.8600 0.0000 0.0000 0.0000
0.8700 0.0000 0.0000 0.0000
0.8800 0.0000 0.0000 0.0000
0.8900 0.0000 0.0000 0.0000
0.9000 0.0000 0.0000 0.0000
0.9100 0.0000 0.0000 0.0000
0.9200 0.0000 0.0000 0.0000
0.9300 0.0000 0.0000 0.0000
0.9400 0.0000 0.0000 0.0000
0.9500 0.0000 0.0000 0.0000
0.9600 0.0000 0.0000 0.0000
0.9700 0.0000 0.0000 0.0000
0.9800 0.0000 0.0000 0.0000
0.9900 0.0000 0.0000 0.0000
